epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5378,2.6317,3.82946,1.90247,0.0084,0.70787,0.01272,0.00376,2.11756,3.7072,1.57811,0.00024,0.00024,0.00024
2,16.8698,1.98693,2.01773,1.3818,0.01167,0.98315,0.03896,0.01277,1.82418,3.2918,1.27071,0.00049175,0.00049175,0.00049175
3,22.6565,1.90883,1.64699,1.3722,0.01053,0.88764,0.0206,0.008,1.81209,3.61482,1.33314,0.00073492,0.00073492,0.00073492
4,28.9645,1.87617,1.57347,1.34775,0.0108,0.91011,0.07181,0.02944,1.84862,3.20991,1.36151,0.00096951,0.00096951,0.00096951
5,33.2005,1.84129,1.36142,1.33914,0.08555,0.06742,0.04967,0.01874,1.91115,3.14669,1.47415,0.00119552,0.00119552,0.00119552
6,38.0317,1.93196,1.58745,1.39886,0.84793,0.76966,0.89001,0.32747,2.06325,2.01833,1.56696,0.00141295,0.00141295,0.00141295
7,42.8188,1.92012,1.27969,1.41255,0.85148,0.86961,0.90618,0.36516,1.98587,1.67907,1.52717,0.0016218,0.0016218,0.0016218
8,46.6672,1.85045,1.24619,1.37511,0.82347,0.90449,0.8712,0.30694,2.04408,1.28445,1.54897,0.001769,0.001769,0.001769
9,50.2746,1.81334,1.20929,1.33278,0.87296,0.92647,0.9315,0.36498,2.07437,1.2233,1.59498,0.001736,0.001736,0.001736
10,55.6535,1.85553,1.13184,1.32535,0.87326,0.89034,0.88339,0.29459,2.25859,1.18596,1.74249,0.001703,0.001703,0.001703
11,59.6499,1.81431,1.12738,1.32952,0.92516,0.91573,0.9177,0.32245,2.18356,1.18156,1.7051,0.00167,0.00167,0.00167
12,63.4816,1.80387,1.10389,1.36575,0.92331,0.92135,0.9436,0.37462,2.1229,1.06094,1.62252,0.001637,0.001637,0.001637
13,68.1607,1.84334,1.09813,1.34153,0.95548,0.96456,0.9702,0.40125,1.99112,0.99847,1.484,0.001604,0.001604,0.001604
14,72.2165,1.80719,1.05551,1.2802,0.8837,0.91011,0.89706,0.32469,2.19215,1.09104,1.60871,0.001571,0.001571,0.001571
15,76.2221,1.81917,1.11536,1.32769,0.73485,0.75281,0.72441,0.20716,2.60316,1.22683,2.06245,0.001538,0.001538,0.001538
16,79.7236,1.83483,1.04223,1.35877,0.91803,0.88202,0.91543,0.33773,2.13728,0.97814,1.61866,0.001505,0.001505,0.001505
17,85.1525,1.75543,1.01378,1.27188,0.86953,0.86119,0.87316,0.30023,2.31122,1.13622,1.6978,0.001472,0.001472,0.001472
18,88.8127,1.80262,0.96046,1.30265,0.92844,0.94752,0.96,0.3839,2.0351,0.93066,1.49896,0.001439,0.001439,0.001439
19,93.0126,1.76581,0.99738,1.28086,0.92793,0.94038,0.96583,0.37522,2.05789,0.91882,1.51611,0.001406,0.001406,0.001406
20,98.0207,1.7195,0.91066,1.28033,0.96307,0.96067,0.96737,0.38301,2.03699,0.94086,1.50608,0.001373,0.001373,0.001373
21,102.22,1.71564,0.95305,1.2782,0.95581,0.98876,0.98326,0.38553,2.1038,0.82508,1.57499,0.00134,0.00134,0.00134
22,105.955,1.76157,0.9068,1.297,0.91659,0.94382,0.93081,0.34886,2.22691,0.84516,1.65531,0.001307,0.001307,0.001307
23,110.572,1.79759,0.89965,1.29023,0.96103,0.96972,0.97494,0.37558,2.13701,0.83975,1.54387,0.001274,0.001274,0.001274
24,115.285,1.7526,0.92478,1.23723,0.90236,0.89888,0.86971,0.29797,2.3185,1.01651,1.69958,0.001241,0.001241,0.001241
25,119.044,1.73848,0.89277,1.28687,0.89464,0.8764,0.90016,0.32052,2.30807,0.88523,1.66151,0.001208,0.001208,0.001208
26,122.917,1.71853,0.8834,1.28441,0.96082,0.97191,0.9674,0.38195,2.12387,0.84283,1.5563,0.001175,0.001175,0.001175
27,128.045,1.7756,0.86427,1.30223,0.94437,0.95374,0.95847,0.36052,2.19031,0.8373,1.61287,0.001142,0.001142,0.001142
28,131.893,1.72744,0.84332,1.2832,0.93764,0.96629,0.93965,0.38317,1.93732,0.84943,1.42373,0.001109,0.001109,0.001109
29,135.34,1.72597,0.81919,1.25906,0.96524,0.98876,0.98709,0.37762,2.05047,0.79528,1.4804,0.001076,0.001076,0.001076
30,140.355,1.71834,0.8135,1.25397,0.91198,0.92697,0.90441,0.34023,2.25338,0.82771,1.60711,0.001043,0.001043,0.001043
31,144.5,1.7153,0.86414,1.27901,0.97058,0.97191,0.97183,0.40659,1.987,0.78833,1.43967,0.00101,0.00101,0.00101
32,148.218,1.71442,0.84332,1.25061,0.95443,0.94131,0.95585,0.37243,2.1835,0.77141,1.60459,0.000977,0.000977,0.000977
33,152.558,1.67075,0.8039,1.24813,0.8863,0.88764,0.89877,0.32629,2.30686,0.83221,1.65829,0.000944,0.000944,0.000944
34,157.387,1.66633,0.80473,1.24363,0.87405,0.87079,0.84558,0.28986,2.41555,0.87466,1.77151,0.000911,0.000911,0.000911
35,161.488,1.6848,0.77085,1.24737,0.92329,0.87904,0.86782,0.2961,2.4429,0.85322,1.85359,0.000878,0.000878,0.000878
36,165.207,1.64496,0.76436,1.23758,0.90275,0.90449,0.89685,0.31499,2.41737,0.81394,1.8459,0.000845,0.000845,0.000845
